RoadType,SpeedLimit,NodeID,x,y
residential,30,5047535973,24.9379451,60.1672962
cycleway,No data,295056669,24.9361381,60.1691428
cycleway,No data,295057564,24.9370852,60.1695007
residential,30,659998488,24.9361539,60.1689887
footway,No data,7698784979,24.9350061,60.1685033
footway,No data,2260404103,24.9349122,60.1685485
footway,No data,295056692,24.9341517,60.1689869
cycleway,No data,389498055,24.9345832,60.1685664
steps,No data,311750235,24.9344238,60.1690759
footway,No data,313972555,24.9316933,60.1682526
footway,No data,7698729481,24.9358983,60.168839
footway,No data,295056712,24.9359958,60.1689592
cycleway,No data,295057566,24.9372867,60.1695663
footway,No data,313959326,24.9373474,60.1695279
service,No data,313962123,24.9353586,60.1687968
footway,No data,11150208486,24.9309157,60.1685004
footway,No data,295058212,24.9315327,60.1683312
footway,No data,301362089,24.9310921,60.167617
footway,No data,1934490996,24.9308751,60.1675528
tertiary,30,295058226,24.930776,60.1674991
footway,No data,295058427,24.9300526,60.1684778
steps,No data,318044441,24.931183,60.168853
footway,No data,11150208479,24.9299757,60.168535
residential,30,7687786267,24.9370833,60.1683232
residential,30,8874925445,24.9395436,60.1674838
cycleway,No data,3238771307,24.9305753,60.1702842
footway,No data,6343007820,24.928444,60.1689462
cycleway,No data,6046510362,24.9302804,60.1688315
unclassified,30,1371748760,24.9291066,60.1699542
footway,No data,447915066,24.9295145,60.1699938
footway,No data,295933322,24.9302244,60.1702937
footway,No data,447915077,24.9301274,60.1701904
footway,No data,1025771342,24.9311575,60.1696023
footway,No data,1025771343,24.931189,60.1697253
footway,No data,3205236789,24.9265468,60.166975
cycleway,No data,2484761188,24.9266073,60.1657212
cycleway,No data,981913177,24.9271957,60.1665205
cycleway,No data,295700998,24.9331397,60.1712052
footway,No data,1783126392,24.933503,60.1714136
footway,No data,1783126382,24.9301282,60.1703721
pedestrian,No data,295939019,24.9336255,60.1704584
pedestrian,No data,8075562082,24.933916,60.1702497
pedestrian,No data,3660682754,24.9326866,60.1699352
footway,No data,3660682755,24.9325854,60.1701
footway,No data,295941918,24.9257271,60.1648987
secondary,30,1372425724,24.9256618,60.1649479
secondary,30,298109400,24.9261573,60.1645841
footway,No data,295941920,24.9258406,60.165001
footway,No data,7077668187,24.9264775,60.1651726
tertiary,30,7077668188,24.9264374,60.1652027
cycleway,No data,2484761179,24.9262234,60.1653725
residential,30,295942517,24.9278124,60.1678988
residential,30,319797347,24.9284099,60.1681903
pedestrian,No data,295942519,24.9246799,60.1683227
pedestrian,No data,1378064357,24.9246415,60.1682686
pedestrian,No data,301362320,24.9269004,60.1691996
footway,No data,295944004,24.9342615,60.1710793
service,No data,295946884,24.9237239,60.1660617
service,No data,1372461707,24.9238254,60.1660482
footway,No data,1783126249,24.923776,60.1660053
footway,No data,295947986,24.9244542,60.1672443
footway,No data,295946892,24.9243376,60.1673202
footway,No data,7694174359,24.9248686,60.1681782
footway,No data,7694174362,24.9247218,60.1681972
footway,No data,1019881070,24.924864,60.1682404
footway,No data,295946913,24.9275454,60.1678166
footway,No data,295946916,24.9278323,60.1677755
living_street,No data,1378064355,24.9275758,60.1678697
footway,No data,5245382349,24.927447,60.1678299
living_street,No data,3205236813,24.9273503,60.1674383
service,No data,1019881075,24.9278645,60.1678301
living_street,No data,7699019941,24.9276408,60.1674453
residential,30,296045356,24.9238577,60.1661085
residential,30,295948400,24.925717,60.1670791
residential,30,295948401,24.9239528,60.1660313
residential,30,1382297469,24.9241687,60.1660026
footway,No data,295948403,24.9245952,60.167285
residential,30,1019881012,24.9256349,60.1671488
cycleway,No data,3238772786,24.9333942,60.1710746
residential,30,296045343,24.9253928,60.1664791
residential,30,3205236774,24.9253622,60.1664187
residential,30,1382297463,24.9254252,60.1658363
residential,30,296045359,24.9258713,60.1671182
residential,30,3205236795,24.9264859,60.1670404
footway,No data,3205236775,24.9252895,60.1664288
footway,No data,432495836,24.9250041,60.1658914
footway,No data,296047175,24.9309832,60.1673304
footway,No data,719891375,24.9311458,60.1673173
tertiary,30,3205997645,24.9306978,60.1667343
footway,No data,296047183,24.9331242,60.1671023
tertiary,30,301360876,24.9326315,60.1674332
footway,No data,296250736,24.9401836,60.1670157
footway,No data,8874984254,24.940564,60.1671446
footway,No data,8874984257,24.9401298,60.1671491
footway,No data,296250734,24.9403394,60.1669995
footway,No data,3227951596,24.9411779,60.1672338
primary,30,1377211669,24.9402481,60.1669677
residential,30,3228706311,24.9398553,60.1672566
footway,No data,296250741,24.9401589,60.1669367
primary,30,1377209035,24.9395251,60.1667185
cycleway,No data,6497762827,24.9414476,60.1659648
footway,No data,296250763,24.9416919,60.1660463
tertiary,30,7628444158,24.9420545,60.1660789
footway,No data,6497762826,24.9417329,60.1660598
cycleway,No data,7628444174,24.9420749,60.1660055
footway,No data,298107341,24.9274317,60.16549
residential,30,319706170,24.9278415,60.1651957
footway,No data,298109403,24.9262785,60.1646252
secondary,30,298109408,24.9262425,60.1645231
footway,No data,298109409,24.9263591,60.1645657
residential,30,7648599755,24.9277717,60.1645535
footway,No data,298109972,24.9283638,60.1648299
footway,No data,298109736,24.928332,60.1647534
residential,30,7894000204,24.9281151,60.164676
footway,No data,298367984,24.9291153,60.1642932
footway,No data,298109741,24.9290968,60.1642103
footway,No data,7653197735,24.9288222,60.1644077
residential,30,7893742779,24.9289426,60.164157
footway,No data,298109743,24.9301618,60.163532
residential,30,7868546257,24.9298007,60.1637972
residential,30,1372233754,24.9301786,60.1634462
footway,No data,7608086642,24.9302311,60.1636084
primary,30,298109746,24.9304145,60.1635289
footway,No data,298109749,24.9331507,60.1644157
tertiary,30,7698602839,24.9338106,60.1639381
footway,No data,319827852,24.9337723,60.1638698
footway,No data,313984212,24.9329806,60.1644394
footway,No data,7608086656,24.9296936,60.1639864
footway,No data,298109967,24.9292843,60.1642741
footway,No data,7608086658,24.9294177,60.1642553
footway,No data,315387775,24.9292479,60.1641915
residential,30,7615431033,24.9297146,60.1644265
footway,No data,298109970,24.9285073,60.1648152
footway,No data,3214939958,24.9304035,60.1654161
footway,No data,298109973,24.9284892,60.1647417
residential,30,3214941261,24.9303379,60.1654626
residential,30,7653197734,24.9289097,60.1644405
footway,No data,7894000208,24.9281806,60.1646328
footway,No data,6339908460,24.9324385,60.1684081
footway,No data,301361388,24.9339741,60.1689667
footway,No data,6339908458,24.9332669,60.1686833
footway,No data,311747902,24.9347606,60.1684274
footway,No data,298137943,24.9348303,60.168262
tertiary,30,1371750099,24.9349361,60.1682996
tertiary,30,6339908473,24.9341697,60.1680296
footway,No data,298137948,24.9359705,60.1674381
footway,No data,298278778,24.9360022,60.1675242
residential,30,8856750691,24.9355111,60.1672822
footway,No data,299968471,24.938011,60.1661972
footway,No data,298372999,24.9369482,60.1669536
footway,No data,7690598271,24.9369584,60.1670367
footway,No data,298373001,24.9367678,60.1669742
footway,No data,298275983,24.9361992,60.1675123
footway,No data,7694456402,24.9363125,60.1675026
residential,30,7698669739,24.936498,60.1676157
footway,No data,298275987,24.9361085,60.167558
footway,No data,9782069087,24.9362943,60.1676213
footway,No data,7698792296,24.9359951,60.1676396
residential,30,298275993,24.9361468,60.1674204
residential,30,7687786220,24.9354289,60.1679444
footway,No data,6837885712,24.9261316,60.1631161
footway,No data,6837885708,24.9266958,60.1633079
footway,No data,6837885724,24.9279869,60.1631162
footway,No data,298367079,24.9283964,60.1628198
residential,30,1372318837,24.9284873,60.1628526
residential,30,6837885723,24.9277109,60.1625806
secondary,30,7653197775,24.9269061,60.1640026
footway,No data,7608623725,24.9292457,60.1643383
footway,No data,298368067,24.9319374,60.1652784
footway,No data,3214939938,24.9304096,60.1647444
footway,No data,298368073,24.9319105,60.1652039
footway,No data,298367993,24.9311462,60.1657485
footway,No data,298372068,24.9312922,60.1657299
residential,30,1372441183,24.9312273,60.1657772
footway,No data,1897461519,24.9304862,60.1663099
tertiary,30,1372441170,24.9319989,60.1652347
footway,No data,7702074851,24.9324647,60.1654631
footway,No data,298368069,24.9320932,60.1652675
residential,30,7702074848,24.9327267,60.1654902
footway,No data,7695014627,24.932237,60.1652532
footway,No data,298368071,24.932061,60.1651906
footway,No data,7698592798,24.9322454,60.1651556
tertiary,30,7690696527,24.9325727,60.1648282
footway,No data,7608623718,24.9317209,60.1650688
residential,30,1297403628,24.9314668,60.1650468
footway,No data,7701520595,24.9331918,60.1671422
footway,No data,298372080,24.9338304,60.1667115
footway,No data,7701520597,24.9346434,60.1670465
footway,No data,298372055,24.9333689,60.1657843
footway,No data,7702074844,24.9332408,60.1657388
service,No data,298372061,24.9334294,60.1657371
service,No data,298372064,24.9326421,60.166218
residential,30,7702074840,24.9336949,60.1658303
residential,30,7702074843,24.9333066,60.165694
service,No data,4524927399,24.93256,60.1662559
footway,No data,7702130658,24.9325174,60.1661718
footway,No data,301360194,24.9313151,60.1658088
tertiary,30,7687750041,24.9316022,60.1655129
footway,No data,298372071,24.9326054,60.1662717
residential,30,7687750052,24.933135,60.1664608
footway,No data,301360155,24.93236,60.1662536
footway,No data,301360145,24.9308307,60.1664762
tertiary,30,8856802602,24.9339864,60.1664947
residential,30,1377211667,24.9337346,60.1666759
footway,No data,298373727,24.9336512,60.166645
footway,No data,298373729,24.9338029,60.1666254
footway,No data,7687750057,24.9334647,60.166508
residential,30,7702074833,24.9340603,60.1659586
footway,No data,298372989,24.9345727,60.1660697
footway,No data,7699177469,24.9345398,60.1660027
footway,No data,7676757039,24.9348051,60.1661523
residential,30,8856704555,24.9350234,60.1662929
footway,No data,8856704592,24.9366626,60.1669345
footway,No data,310042886,24.9367535,60.1668867
footway,No data,8856831429,24.936606,60.1669942
footway,No data,5047535974,24.9379967,60.1672578
footway,No data,298372997,24.9368962,60.166877
footway,No data,7676879069,24.9375993,60.1661244
footway,No data,299968946,24.9378376,60.1662095
footway,No data,299968465,24.9378178,60.1661296
footway,No data,7676879071,24.9377301,60.1661923
residential,30,7676890497,24.9370688,60.1667553
residential,30,7702130668,24.9333128,60.1665242
tertiary,30,298373896,24.9336518,60.166737
tertiary,30,9554399751,24.9333731,60.16693
footway,No data,298373925,24.9324464,60.1674537
tertiary,30,1371750094,24.9325536,60.1674849
primary,30,7676879065,24.9376107,60.1660575
residential,30,1377211666,24.9379056,60.1661604
service,No data,299968475,24.9385788,60.1664534
service,No data,1377208998,24.9386405,60.166412
footway,No data,299968477,24.939453,60.1667631
service,No data,5307121094,24.9394198,60.1667915
footway,No data,7676879022,24.9357411,60.1654825
footway,No data,7676757070,24.935536,60.1654844
footway,No data,311746601,24.9356791,60.1653846
footway,No data,299968943,24.9354194,60.1653708
tertiary,30,7676757064,24.9352044,60.1656191
footway,No data,7695105607,24.9352191,60.1653005
footway,No data,7699183111,24.9352717,60.1654769
footway,No data,313987272,24.925023,60.1613794
footway,No data,1372318830,24.9246004,60.1616819
footway,No data,299973742,24.9284264,60.1628983
secondary,30,6837885725,24.9280865,60.163149
footway,No data,6837885722,24.9276435,60.1626275
residential,30,3205178789,24.9277821,60.1637553
footway,No data,3205178783,24.9278401,60.1637115
footway,No data,300020623,24.933003,60.1645235
tertiary,30,1377610493,24.933074,60.1644717
footway,No data,319797348,24.9284671,60.1681529
footway,No data,3205997635,24.9305318,60.1666026
footway,No data,1724857177,24.9299617,60.1665668
footway,No data,7699019887,24.9301708,60.1666083
footway,No data,2037356634,24.9308115,60.1664217
residential,30,56113314,24.9306919,60.1664916
footway,No data,301360158,24.9322698,60.1661526
residential,30,1372441189,24.932452,60.166218
residential,30,569742461,24.9317431,60.1663431
residential,30,7702130648,24.9315824,60.165905
footway,No data,7687750048,24.932276,60.1660863
footway,No data,301360190,24.9311614,60.1658218
footway,No data,2154078763,24.9306204,60.1663105
footway,No data,301360877,24.9326652,60.1675161
footway,No data,7701447295,24.9328339,60.1673987
footway,No data,7701447285,24.9336261,60.1676988
residential,30,7701337664,24.9338253,60.1676456
footway,No data,1651494816,24.9323266,60.1677592
footway,No data,301362087,24.9324494,60.1675546
residential,30,301360890,24.9338426,60.1676331
residential,30,3216400389,24.9339332,60.1675668
service,No data,3216400394,24.9339199,60.1676616
footway,No data,644600029,24.9341123,60.1677326
footway,No data,301361066,24.9345349,60.1676506
footway,No data,301361067,24.9347352,60.1675112
unclassified,30,6339908459,24.9331664,60.1687567
footway,No data,3187253561,24.9303395,60.168809
footway,No data,301362075,24.9313568,60.1673865
footway,No data,1934490993,24.9313938,60.1674509
footway,No data,846597961,24.9312471,60.1675963
footway,No data,804644212,24.9314922,60.168062
footway,No data,301362088,24.9316963,60.1680838
residential,30,1651494815,24.9322175,60.1677224
residential,30,1371748756,24.9315415,60.1681888
unclassified,30,1371751516,24.9310317,60.1675426
pedestrian,No data,7694322994,24.926692,60.1691273
